                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 2.6999,                 1.2474,                 2.8814,                0.89406,                0.76726,                 0.8957,                0.42098,                  3.511,                 1.6107,                 3.9832,              0.0018673,              0.0018673,              0.0018673
                     69,                 2.7016,                 1.2558,                 2.8107,                0.88531,                0.87273,                 0.9422,                0.49863,                  3.224,                 1.3263,                 3.7588,              0.0018654,              0.0018654,              0.0018654
                     70,                 2.6279,                 1.1853,                 2.8338,                0.88265,                0.68384,                0.85019,                0.43839,                 3.4873,                 2.1857,                 3.9985,              0.0018634,              0.0018634,              0.0018634
                     71,                 2.5933,                  1.125,                 2.8102,                0.87795,                0.65395,                0.74801,                0.36545,                 3.6002,                 2.8215,                 4.0526,              0.0018614,              0.0018614,              0.0018614
                     72,                  2.629,                 1.1523,                 2.8155,                0.90356,                0.76364,                0.81744,                0.42717,                 3.4505,                 2.0254,                 3.9354,              0.0018594,              0.0018594,              0.0018594
                     73,                 2.7302,                 1.3155,                 2.8472,                0.88586,                0.74545,                 0.8578,                0.46556,                 3.4253,                 1.8905,                 3.9634,              0.0018574,              0.0018574,              0.0018574
                     74,                 2.5291,                 1.1227,                 2.6934,                0.88731,                0.85902,                0.89925,                0.46148,                 3.5382,                 1.5066,                 4.0877,              0.0018555,              0.0018555,              0.0018555
                     75,                 2.7448,                 1.1991,                 2.9033,                0.86443,                0.92746,                0.94612,                0.51223,                 3.4158,                 1.3168,                 4.3417,              0.0018535,              0.0018535,              0.0018535
                     76,                 2.7139,                   1.16,                 2.8621,                0.82789,                0.96207,                 0.9367,                0.45835,                 3.6479,                 1.4298,                 4.2808,              0.0018515,              0.0018515,              0.0018515
                     77,                 2.6579,                 1.2235,                 2.8881,                0.86559,                0.85455,                0.87353,                0.36409,                  3.876,                  1.473,                 4.1928,              0.0018495,              0.0018495,              0.0018495
                     78,                  2.707,                 1.1846,                 2.9131,                0.83524,                0.92178,                0.94883,                0.43508,                 3.6818,                 1.3418,                 4.0361,              0.0018475,              0.0018475,              0.0018475
                     79,                 2.6909,                 1.2159,                 2.8025,                0.89736,                0.79486,                 0.8463,                0.26286,                 4.6345,                 1.8029,                 4.4807,              0.0018456,              0.0018456,              0.0018456
                     80,                  2.653,                 1.2082,                 2.8596,                0.95599,                    0.8,                0.88235,                0.37194,                 3.9234,                  1.676,                 4.2534,              0.0018436,              0.0018436,              0.0018436
                     81,                 2.5195,                 1.1775,                 2.7361,                 0.9373,                0.90909,                0.96749,                0.45146,                 3.7276,                 1.4082,                 4.1887,              0.0018416,              0.0018416,              0.0018416
                     82,                 2.6814,                 1.2265,                 2.7681,                0.86872,                0.48141,                0.55879,                0.28649,                 3.8398,                 4.3854,                 4.1567,              0.0018396,              0.0018396,              0.0018396
                     83,                 2.5302,                 1.0801,                 2.8308,                0.86589,                0.70909,                0.82505,                  0.373,                 3.9098,                 2.1622,                 4.2192,              0.0018376,              0.0018376,              0.0018376
                     84,                 2.5475,                 1.1005,                 2.6972,                 0.9433,                0.90747,                0.90449,                0.36973,                 4.0725,                 1.3423,                  4.153,              0.0018357,              0.0018357,              0.0018357
                     85,                  2.523,                  1.062,                  2.687,                0.98657,                0.89091,                 0.9518,                0.44461,                 3.7533,                 1.3334,                 3.9676,              0.0018337,              0.0018337,              0.0018337
                     86,                 2.4232,                  1.025,                 2.5998,                0.95185,                0.83636,                0.93653,                0.51618,                 3.5098,                 1.2089,                 4.0161,              0.0018317,              0.0018317,              0.0018317
                     87,                  2.558,                 1.0712,                 2.8004,                0.92406,                0.94545,                0.96856,                0.49607,                 3.4734,                 1.2359,                 4.1789,              0.0018297,              0.0018297,              0.0018297
                     88,                 2.5881,                 1.0984,                 2.7583,                0.82677,                0.86781,                0.90723,                0.49648,                 3.4791,                  1.464,                 4.0786,              0.0018277,              0.0018277,              0.0018277
                     89,                  2.501,                 1.1188,                 2.7635,                0.87029,                0.74545,                0.85932,                0.46703,                 3.6974,                 1.7587,                 4.5344,              0.0018258,              0.0018258,              0.0018258
                     90,                 2.5588,                 1.1188,                 2.6722,                0.90783,                0.81818,                0.90047,                0.48115,                 3.6956,                  1.636,                  4.527,              0.0018238,              0.0018238,              0.0018238
                     91,                 2.5759,                 1.0941,                 2.6955,                0.88655,                0.56845,                0.70712,                0.33936,                 4.2007,                 3.0153,                 4.3076,              0.0018218,              0.0018218,              0.0018218
                     92,                 2.5804,                 1.0971,                 2.7954,                 0.8968,                0.50909,                0.68681,                0.35461,                 3.8119,                 3.8213,                 4.0533,              0.0018198,              0.0018198,              0.0018198
                     93,                 2.6827,                 1.1591,                  2.757,                0.91203,                0.75408,                0.84508,                0.44942,                 3.6719,                 1.6187,                 4.2261,              0.0018178,              0.0018178,              0.0018178
                     94,                 2.5733,                 1.1996,                 2.7383,                0.84256,                0.77845,                0.81922,                0.42836,                 3.7887,                 1.8506,                 4.1896,              0.0018159,              0.0018159,              0.0018159
                     95,                 2.5257,                  1.052,                 2.6612,                0.93217,                0.81818,                0.89087,                0.50771,                 3.3692,                  1.358,                 4.1816,              0.0018139,              0.0018139,              0.0018139
                     96,                 2.6667,                 1.1725,                 2.7757,                0.81281,                0.90909,                0.91069,                0.45583,                 3.7353,                 1.3487,                  4.372,              0.0018119,              0.0018119,              0.0018119
                     97,                 2.5307,                  1.098,                 2.6708,                0.89931,                0.83636,                0.91578,                 0.4484,                 3.6573,                 1.3765,                 4.2564,              0.0018099,              0.0018099,              0.0018099
                     98,                 2.4231,                 1.0526,                 2.6413,                0.92035,                0.81818,                0.91514,                0.40656,                 3.9592,                 1.4068,                  4.399,              0.0018079,              0.0018079,              0.0018079
                     99,                 2.5288,                  1.151,                 2.6957,                0.95454,                 0.7636,                0.91226,                0.34695,                 4.1873,                 1.5916,                  4.671,               0.001806,               0.001806,               0.001806
                    100,                 2.4812,                 1.1363,                 2.6067,                 0.9263,                 0.9141,                0.95309,                0.47116,                 3.7523,                 1.2235,                 4.3167,               0.001804,               0.001804,               0.001804
                    101,                 2.5266,                 1.1087,                 2.7378,                0.96203,                0.92134,                 0.9585,                0.49525,                 3.7812,                 1.2646,                 4.5114,               0.001802,               0.001802,               0.001802
                    102,                 2.4314,                 1.1418,                 2.7281,                0.94236,                0.92727,                0.96419,                0.50593,                 3.5434,                 1.1509,                 4.1734,                 0.0018,                 0.0018,                 0.0018
                    103,                 2.4845,                 1.0979,                 2.7476,                0.96174,                0.94545,                0.95462,                0.41617,                 4.0886,                 1.2668,                 4.3955,               0.001798,               0.001798,               0.001798
                    104,                 2.4275,                 1.0506,                 2.6898,                 0.9085,                0.94545,                0.94144,                0.41202,                 4.1861,                 1.2936,                 4.7994,              0.0017961,              0.0017961,              0.0017961
                    105,                 2.5377,                 1.0943,                 2.7125,                0.87896,                0.90909,                0.94619,                0.42374,                 3.9245,                 1.4973,                 4.6129,              0.0017941,              0.0017941,              0.0017941
                    106,                  2.569,                 1.0805,                 2.6915,                0.89128,                0.90909,                0.93601,                0.50468,                 3.5458,                 1.2699,                 4.4043,              0.0017921,              0.0017921,              0.0017921
                    107,                 2.4531,                 1.1166,                 2.7043,                0.92793,                0.93647,                0.97754,                0.51851,                 3.3533,                 1.1687,                 4.0214,              0.0017901,              0.0017901,              0.0017901
                    108,                 2.4627,                 1.0485,                 2.6586,                0.91457,                0.89091,                0.97181,                0.49979,                 3.3325,                 1.4192,                 4.2913,              0.0017881,              0.0017881,              0.0017881
                    109,                 2.5229,                 1.1052,                  2.732,                0.90097,                0.92727,                0.93575,                0.41258,                 3.7639,                 1.2587,                 4.3861,              0.0017862,              0.0017862,              0.0017862
                    110,                  2.432,                 1.0373,                 2.6128,                0.99614,                0.94545,                0.98451,                0.52022,                 3.5198,                 1.2027,                 4.2085,              0.0017842,              0.0017842,              0.0017842
                    111,                 2.4363,                 1.0263,                 2.6773,                 0.9105,                0.92492,                0.97468,                0.55293,                 3.3211,                 1.2512,                 4.2445,              0.0017822,              0.0017822,              0.0017822
                    112,                 2.4404,                 1.0042,                 2.6108,                0.97904,                 0.8493,                0.92783,                0.50481,                 3.2621,                 1.3803,                 4.0434,              0.0017802,              0.0017802,              0.0017802
                    113,                  2.461,                 1.1119,                 2.6136,                0.96856,                0.85455,                0.94429,                 0.5055,                 3.2603,                 1.3538,                  4.145,              0.0017782,              0.0017782,              0.0017782
